,room1,room1,room1,room2,room2,room2,
 ,temp,rh,ah,temp,rh,ah,
2022/04/01 00:00,1.0,0.86,0.00349,25.0,0.5,0.00988,
2022/04/01 00:10,0.895,0.867,0.00349,21.66,0.483,0.00778,
2022/04/01 00:20,0.778,0.876,0.00349,20.537,0.479,0.00719,
2022/04/01 00:30,0.662,0.884,0.0035,19.746,0.477,0.00681,
2022/04/01 00:40,0.545,0.892,0.0035,19.156,0.477,0.00656,
2022/04/01 00:50,0.428,0.901,0.00351,18.694,0.477,0.00638,
2022/04/01 01:00,0.312,0.909,0.00351,18.313,0.478,0.00624,
2022/04/01 01:10,0.18,0.913,0.00349,17.983,0.479,0.00613,
2022/04/01 01:20,0.047,0.916,0.00347,17.682,0.48,0.00602,
2022/04/01 01:30,-0.087,0.92,0.00345,17.396,0.48,0.00591,
2022/04/01 01:40,-0.22,0.923,0.00343,17.117,0.48,0.0058,
2022/04/01 01:50,-0.353,0.926,0.00341,16.841,0.479,0.00569,
2022/04/01 02:00,-0.487,0.93,0.00339,16.564,0.478,0.00558,
2022/04/01 02:10,-0.605,0.927,0.00335,16.285,0.477,0.00547,
2022/04/01 02:20,-0.722,0.924,0.00331,16.003,0.476,0.00536,
2022/04/01 02:30,-0.838,0.921,0.00327,15.717,0.475,0.00525,
2022/04/01 02:40,-0.955,0.917,0.00323,15.429,0.473,0.00514,
2022/04/01 02:50,-1.072,0.914,0.00319,15.139,0.472,0.00502,
2022/04/01 03:00,-1.188,0.91,0.00315,14.847,0.47,0.00491,
2022/04/01 03:10,-1.26,0.91,0.00313,14.555,0.469,0.00481,
2022/04/01 03:20,-1.327,0.91,0.00311,14.265,0.467,0.0047,
2022/04/01 03:30,-1.393,0.91,0.0031,13.976,0.466,0.0046,
2022/04/01 03:40,-1.46,0.91,0.00308,13.688,0.465,0.0045,
2022/04/01 03:50,-1.527,0.91,0.00307,13.403,0.464,0.00441,
2022/04/01 04:00,-1.593,0.91,0.00305,13.119,0.462,0.00431,
2022/04/01 04:10,-1.675,0.912,0.00304,12.837,0.461,0.00423,
2022/04/01 04:20,-1.758,0.913,0.00303,12.557,0.46,0.00414,
2022/04/01 04:30,-1.842,0.915,0.00301,12.279,0.459,0.00405,
2022/04/01 04:40,-1.925,0.917,0.003,12.003,0.458,0.00397,
2022/04/01 04:50,-2.008,0.918,0.00299,11.73,0.458,0.0039,
2022/04/01 05:00,-2.092,0.92,0.00297,11.461,0.457,0.00382,
2022/04/01 05:10,-2.13,0.92,0.00297,11.194,0.456,0.00375,
2022/04/01 05:20,-2.163,0.92,0.00296,10.933,0.456,0.00368,
2022/04/01 05:30,-2.197,0.92,0.00295,10.676,0.455,0.00361,
2022/04/01 05:40,-2.23,0.92,0.00295,10.423,0.455,0.00355,
2022/04/01 05:50,-2.263,0.92,0.00294,10.174,0.454,0.00348,
2022/04/01 06:00,-2.297,0.92,0.00293,9.928,0.454,0.00342,
2022/04/01 06:10,-1.97,0.918,0.003,9.694,0.454,0.00337,
2022/04/01 06:20,-1.603,0.915,0.00307,9.477,0.454,0.00332,
2022/04/01 06:30,-1.237,0.912,0.00314,9.274,0.454,0.00327,
2022/04/01 06:40,-0.87,0.909,0.00322,9.082,0.454,0.00323,
2022/04/01 06:50,-0.503,0.905,0.00329,8.9,0.454,0.0032,
2022/04/01 07:00,-0.137,0.9,0.00336,8.727,0.455,0.00316,
2022/04/01 07:10,0.35,0.886,0.00343,8.563,0.455,0.00313,
2022/04/01 07:20,0.85,0.871,0.0035,8.41,0.456,0.0031,
2022/04/01 07:30,1.35,0.856,0.00356,8.267,0.456,0.00308,
2022/04/01 07:40,1.85,0.841,0.00363,8.134,0.457,0.00305,
2022/04/01 07:50,2.35,0.826,0.00369,8.011,0.458,0.00303,
2022/04/01 08:00,2.85,0.811,0.00376,7.897,0.459,0.00301,
2022/04/01 08:10,3.26,0.792,0.00378,7.79,0.459,0.003,
2022/04/01 08:20,3.66,0.773,0.00379,7.688,0.46,0.00298,
2022/04/01 08:30,4.06,0.755,0.00381,7.592,0.461,0.00297,
2022/04/01 08:40,4.46,0.736,0.00382,7.503,0.462,0.00295,
2022/04/01 08:50,4.86,0.719,0.00384,7.422,0.462,0.00294,
2022/04/01 09:00,5.26,0.702,0.00385,7.35,0.463,0.00293,
2022/04/01 09:10,5.585,0.687,0.00386,7.284,0.464,0.00292,
2022/04/01 09:20,5.902,0.673,0.00386,7.225,0.464,0.00291,
2022/04/01 09:30,6.218,0.66,0.00387,7.173,0.465,0.00291,
2022/04/01 09:40,6.535,0.647,0.00388,7.128,0.466,0.0029,
2022/04/01 09:50,6.852,0.634,0.00388,7.09,0.467,0.0029,
2022/04/01 10:00,7.168,0.621,0.00389,7.059,0.467,0.0029,
2022/04/01 10:10,7.41,0.606,0.00386,7.033,0.468,0.0029,
2022/04/01 10:20,7.643,0.59,0.00382,7.01,0.469,0.0029,
2022/04/01 10:30,7.877,0.575,0.00378,6.991,0.469,0.0029,
2022/04/01 10:40,8.11,0.56,0.00374,6.976,0.469,0.0029,
2022/04/01 10:50,8.343,0.546,0.0037,6.966,0.47,0.0029,
2022/04/01 11:00,8.577,0.531,0.00366,6.96,0.47,0.0029,
2022/04/01 11:10,8.705,0.527,0.00366,6.958,0.471,0.0029,
2022/04/01 11:20,8.822,0.524,0.00367,6.96,0.471,0.0029,
2022/04/01 11:30,8.938,0.52,0.00367,6.966,0.471,0.00291,
2022/04/01 11:40,9.055,0.517,0.00368,6.975,0.472,0.00291,
2022/04/01 11:50,9.172,0.514,0.00368,6.989,0.473,0.00292,
2022/04/01 12:00,9.288,0.51,0.00369,7.005,0.473,0.00293,
2022/04/01 12:10,9.315,0.515,0.00373,7.025,0.474,0.00293,
2022/04/01 12:20,9.332,0.52,0.00377,7.046,0.475,0.00294,
2022/04/01 12:30,9.348,0.525,0.00381,7.07,0.476,0.00295,
2022/04/01 12:40,9.365,0.53,0.00385,7.096,0.476,0.00296,
2022/04/01 12:50,9.382,0.535,0.00389,7.125,0.477,0.00298,
2022/04/01 13:00,9.398,0.54,0.00393,7.156,0.479,0.00299,
2022/04/01 13:10,9.385,0.543,0.00395,7.188,0.48,0.003,
2022/04/01 13:20,9.368,0.546,0.00397,7.22,0.481,0.00302,
2022/04/01 13:30,9.352,0.55,0.00399,7.252,0.482,0.00303,
2022/04/01 13:40,9.335,0.553,0.00401,7.285,0.483,0.00304,
2022/04/01 13:50,9.318,0.556,0.00403,7.319,0.484,0.00306,
2022/04/01 14:00,9.302,0.56,0.00405,7.354,0.485,0.00307,
2022/04/01 14:10,9.27,0.563,0.00407,7.388,0.486,0.00308,
2022/04/01 14:20,9.237,0.566,0.00408,7.423,0.487,0.0031,
2022/04/01 14:30,9.203,0.57,0.0041,7.458,0.488,0.00311,
2022/04/01 14:40,9.17,0.573,0.00411,7.493,0.489,0.00313,
2022/04/01 14:50,9.137,0.576,0.00413,7.527,0.49,0.00314,
2022/04/01 15:00,9.103,0.58,0.00414,7.562,0.491,0.00316,
2022/04/01 15:10,8.92,0.591,0.00417,7.594,0.492,0.00317,
2022/04/01 15:20,8.72,0.604,0.00421,7.623,0.493,0.00318,
2022/04/01 15:30,8.52,0.617,0.00424,7.648,0.495,0.0032,
2022/04/01 15:40,8.32,0.631,0.00428,7.672,0.496,0.00321,
2022/04/01 15:50,8.12,0.645,0.00431,7.693,0.497,0.00322,
2022/04/01 16:00,7.92,0.659,0.00434,7.713,0.498,0.00323,
2022/04/01 16:10,7.72,0.67,0.00436,7.73,0.5,0.00325,
2022/04/01 16:20,7.52,0.681,0.00437,7.745,0.501,0.00326,
2022/04/01 16:30,7.32,0.693,0.00439,7.757,0.502,0.00327,
2022/04/01 16:40,7.12,0.705,0.0044,7.766,0.503,0.00328,
2022/04/01 16:50,6.92,0.717,0.00441,7.773,0.505,0.00329,
2022/04/01 17:00,6.72,0.729,0.00443,7.777,0.506,0.0033,
2022/04/01 17:10,6.505,0.739,0.00442,7.777,0.507,0.00331,
2022/04/01 17:20,6.288,0.748,0.00441,7.774,0.508,0.00331,
2022/04/01 17:30,6.072,0.758,0.00441,7.767,0.509,0.00332,
2022/04/01 17:40,5.855,0.768,0.0044,7.756,0.511,0.00332,
2022/04/01 17:50,5.638,0.779,0.00439,7.742,0.512,0.00333,
2022/04/01 18:00,5.422,0.789,0.00438,7.724,0.513,0.00333,
2022/04/01 18:10,5.34,0.791,0.00437,7.705,0.514,0.00333,
2022/04/01 18:20,5.273,0.793,0.00436,7.686,0.515,0.00334,
2022/04/01 18:30,5.207,0.795,0.00435,7.667,0.516,0.00334,
2022/04/01 18:40,5.14,0.796,0.00434,7.646,0.516,0.00334,
2022/04/01 18:50,5.073,0.798,0.00433,7.623,0.517,0.00334,
2022/04/01 19:00,5.007,0.8,0.00432,7.598,0.518,0.00334,
2022/04/01 19:10,5.03,0.795,0.0043,7.572,0.519,0.00334,
2022/04/01 19:20,5.063,0.79,0.00428,7.547,0.519,0.00333,
2022/04/01 19:30,5.097,0.785,0.00426,7.521,0.52,0.00333,
2022/04/01 19:40,5.13,0.78,0.00425,7.494,0.521,0.00333,
2022/04/01 19:50,5.163,0.775,0.00423,7.467,0.521,0.00333,
2022/04/01 20:00,5.197,0.77,0.00421,7.438,0.522,0.00332,
2022/04/01 20:10,5.275,0.764,0.0042,7.41,0.522,0.00332,
2022/04/01 20:20,5.358,0.757,0.00419,7.382,0.523,0.00332,
2022/04/01 20:30,5.442,0.75,0.00417,7.354,0.523,0.00331,
2022/04/01 20:40,5.525,0.744,0.00416,7.327,0.523,0.00331,
2022/04/01 20:50,5.608,0.737,0.00415,7.3,0.524,0.00331,
2022/04/01 21:00,5.692,0.731,0.00413,7.274,0.524,0.0033,
2022/04/01 21:10,5.7,0.734,0.00416,7.247,0.525,0.0033,
2022/04/01 21:20,5.7,0.739,0.00419,7.221,0.525,0.0033,
2022/04/01 21:30,5.7,0.744,0.00421,7.195,0.526,0.00329,
2022/04/01 21:40,5.7,0.75,0.00424,7.17,0.526,0.00329,
2022/04/01 21:50,5.7,0.754,0.00427,7.146,0.527,0.00329,
2022/04/01 22:00,5.7,0.76,0.0043,7.122,0.528,0.00329,
2022/04/01 22:10,5.535,0.773,0.00433,7.097,0.529,0.00329,
2022/04/01 22:20,5.352,0.787,0.00435,7.067,0.529,0.00329,
2022/04/01 22:30,5.168,0.802,0.00438,7.036,0.53,0.00329,
2022/04/01 22:40,4.985,0.817,0.0044,7.002,0.531,0.00329,
2022/04/01 22:50,4.802,0.833,0.00443,6.968,0.533,0.00329,
2022/04/01 23:00,4.618,0.848,0.00446,6.933,0.534,0.00328,
2022/04/01 23:10,4.435,0.85,0.00441,6.896,0.535,0.00328,
2022/04/01 23:20,4.252,0.85,0.00435,6.854,0.536,0.00328,
2022/04/01 23:30,4.068,0.851,0.0043,6.809,0.536,0.00327,
2022/04/01 23:40,3.885,0.851,0.00424,6.762,0.537,0.00327,
2022/04/01 23:50,3.702,0.85,0.00419,6.712,0.537,0.00326,
2022/04/02 00:00,3.518,0.85,0.00413,6.66,0.538,0.00325,
2022/04/02 00:10,3.38,0.847,0.00408,6.607,0.538,0.00324,
2022/04/02 00:20,3.247,0.844,0.00402,6.553,0.539,0.00323,
2022/04/02 00:30,3.113,0.841,0.00397,6.497,0.539,0.00322,
2022/04/02 00:40,2.98,0.838,0.00392,6.44,0.539,0.00321,
2022/04/02 00:50,2.847,0.834,0.00386,6.382,0.54,0.0032,
2022/04/02 01:00,2.713,0.83,0.00381,6.321,0.54,0.00318,
2022/04/02 01:10,2.595,0.807,0.00367,6.257,0.54,0.00317,
2022/04/02 01:20,2.478,0.781,0.00352,6.187,0.539,0.00315,
2022/04/02 01:30,2.362,0.755,0.00338,6.111,0.539,0.00313,
2022/04/02 01:40,2.245,0.728,0.00323,6.032,0.538,0.00311,
2022/04/02 01:50,2.128,0.701,0.00308,5.948,0.537,0.00308,
2022/04/02 02:00,2.012,0.673,0.00293,5.861,0.535,0.00306,
2022/04/02 02:10,1.805,0.672,0.00288,5.772,0.534,0.00303,
2022/04/02 02:20,1.588,0.674,0.00285,5.682,0.533,0.00301,
2022/04/02 02:30,1.372,0.675,0.00281,5.591,0.532,0.00298,
2022/04/02 02:40,1.155,0.677,0.00277,5.499,0.531,0.00296,
2022/04/02 02:50,0.938,0.678,0.00274,5.405,0.531,0.00294,
2022/04/02 03:00,0.722,0.68,0.0027,5.309,0.53,0.00291,
2022/04/02 03:10,0.55,0.682,0.00267,5.211,0.529,0.00289,
2022/04/02 03:20,0.383,0.683,0.00265,5.113,0.528,0.00287,
2022/04/02 03:30,0.217,0.685,0.00262,5.014,0.528,0.00284,
2022/04/02 03:40,0.05,0.687,0.0026,4.914,0.527,0.00282,
2022/04/02 03:50,-0.117,0.688,0.00257,4.813,0.527,0.0028,
2022/04/02 04:00,-0.283,0.69,0.00255,4.71,0.526,0.00277,
2022/04/02 04:10,-0.36,0.691,0.00254,4.608,0.525,0.00275,
2022/04/02 04:20,-0.427,0.693,0.00253,4.508,0.525,0.00273,
2022/04/02 04:30,-0.493,0.695,0.00253,4.408,0.524,0.00271,
2022/04/02 04:40,-0.56,0.696,0.00252,4.31,0.524,0.00269,
2022/04/02 04:50,-0.627,0.698,0.00251,4.212,0.524,0.00267,
2022/04/02 05:00,-0.693,0.7,0.00251,4.114,0.523,0.00265,
2022/04/02 05:10,-0.805,0.704,0.0025,4.016,0.523,0.00263,
2022/04/02 05:20,-0.922,0.709,0.0025,3.917,0.523,0.00261,
2022/04/02 05:30,-1.038,0.714,0.00249,3.817,0.522,0.00259,
2022/04/02 05:40,-1.155,0.719,0.00249,3.717,0.522,0.00257,
2022/04/02 05:50,-1.272,0.724,0.00249,3.616,0.522,0.00255,
2022/04/02 06:00,-1.388,0.729,0.00248,3.516,0.522,0.00253,
2022/04/02 06:10,-1.28,0.725,0.00249,3.42,0.521,0.00251,
2022/04/02 06:20,-1.147,0.72,0.0025,3.331,0.521,0.00249,
2022/04/02 06:30,-1.013,0.715,0.0025,3.247,0.521,0.00248,
2022/04/02 06:40,-0.88,0.71,0.00251,3.167,0.521,0.00246,
2022/04/02 06:50,-0.747,0.705,0.00252,3.091,0.521,0.00245,
2022/04/02 07:00,-0.613,0.7,0.00252,3.017,0.521,0.00244,
2022/04/02 07:10,-0.39,0.681,0.00249,2.947,0.521,0.00242,
2022/04/02 07:20,-0.157,0.66,0.00246,2.879,0.52,0.00241,
2022/04/02 07:30,0.077,0.64,0.00242,2.814,0.52,0.0024,
2022/04/02 07:40,0.31,0.62,0.00239,2.752,0.519,0.00238,
2022/04/02 07:50,0.543,0.601,0.00235,2.693,0.519,0.00237,
2022/04/02 08:00,0.777,0.582,0.00232,2.637,0.518,0.00236,
2022/04/02 08:10,0.965,0.572,0.00231,2.584,0.517,0.00235,
2022/04/02 08:20,1.148,0.564,0.00231,2.535,0.517,0.00234,
2022/04/02 08:30,1.332,0.555,0.0023,2.489,0.516,0.00233,
2022/04/02 08:40,1.515,0.547,0.0023,2.447,0.516,0.00232,
2022/04/02 08:50,1.698,0.539,0.00229,2.408,0.515,0.00231,
2022/04/02 09:00,1.882,0.531,0.00229,2.373,0.515,0.0023,
2022/04/02 09:10,1.945,0.527,0.00228,2.34,0.514,0.00229,
2022/04/02 09:20,1.995,0.524,0.00228,2.307,0.514,0.00228,
2022/04/02 09:30,2.045,0.52,0.00227,2.275,0.513,0.00228,
2022/04/02 09:40,2.095,0.517,0.00226,2.245,0.513,0.00227,
2022/04/02 09:50,2.145,0.514,0.00226,2.218,0.513,0.00226,
2022/04/02 10:00,2.195,0.51,0.00225,2.193,0.512,0.00226,
2022/04/02 10:10,2.23,0.505,0.00223,2.169,0.512,0.00225,
2022/04/02 10:20,2.263,0.5,0.00222,2.148,0.511,0.00225,
2022/04/02 10:30,2.297,0.495,0.0022,2.128,0.511,0.00224,
2022/04/02 10:40,2.33,0.49,0.00218,2.11,0.511,0.00224,
2022/04/02 10:50,2.363,0.485,0.00217,2.094,0.51,0.00223,
2022/04/02 11:00,2.397,0.48,0.00215,2.08,0.51,0.00223,
2022/04/02 11:10,2.445,0.478,0.00215,2.068,0.509,0.00223,
2022/04/02 11:20,2.495,0.477,0.00215,2.059,0.509,0.00222,
2022/04/02 11:30,2.545,0.475,0.00215,2.052,0.509,0.00222,
2022/04/02 11:40,2.595,0.473,0.00215,2.048,0.509,0.00222,
2022/04/02 11:50,2.645,0.472,0.00215,2.045,0.508,0.00222,
2022/04/02 12:00,2.695,0.47,0.00215,2.044,0.508,0.00222,
2022/04/02 12:10,2.655,0.471,0.00215,2.043,0.508,0.00222,
2022/04/02 12:20,2.605,0.473,0.00215,2.041,0.508,0.00221,
2022/04/02 12:30,2.555,0.475,0.00215,2.038,0.507,0.00221,
2022/04/02 12:40,2.505,0.476,0.00215,2.035,0.507,0.00221,
2022/04/02 12:50,2.455,0.478,0.00215,2.032,0.507,0.00221,
2022/04/02 13:00,2.405,0.48,0.00215,2.03,0.507,0.00221,
2022/04/02 13:10,2.325,0.484,0.00216,2.027,0.507,0.00221,
2022/04/02 13:20,2.242,0.489,0.00216,2.024,0.507,0.00221,
2022/04/02 13:30,2.158,0.494,0.00217,2.022,0.507,0.00221,
2022/04/02 13:40,2.075,0.499,0.00218,2.019,0.507,0.00221,
2022/04/02 13:50,1.992,0.504,0.00219,2.016,0.507,0.00221,
2022/04/02 14:00,1.908,0.509,0.0022,2.013,0.507,0.00221,
2022/04/02 14:10,1.855,0.513,0.00221,2.01,0.507,0.00221,
2022/04/02 14:20,1.805,0.516,0.00221,2.008,0.507,0.00221,
2022/04/02 14:30,1.755,0.52,0.00222,2.005,0.507,0.00221,
2022/04/02 14:40,1.705,0.523,0.00223,2.003,0.507,0.00221,
2022/04/02 14:50,1.655,0.526,0.00223,2.0,0.507,0.00221,
2022/04/02 15:00,1.605,0.53,0.00224,1.997,0.507,0.00221,
2022/04/02 15:10,1.51,0.534,0.00224,1.992,0.507,0.00221,
2022/04/02 15:20,1.41,0.539,0.00225,1.986,0.507,0.0022,
2022/04/02 15:30,1.31,0.544,0.00225,1.978,0.508,0.0022,
2022/04/02 15:40,1.21,0.549,0.00226,1.969,0.508,0.0022,
2022/04/02 15:50,1.11,0.554,0.00226,1.958,0.508,0.0022,
2022/04/02 16:00,1.01,0.559,0.00227,1.947,0.508,0.0022,
2022/04/02 16:10,0.895,0.569,0.00228,1.934,0.508,0.0022,
2022/04/02 16:20,0.778,0.578,0.0023,1.921,0.508,0.0022,
2022/04/02 16:30,0.662,0.588,0.00232,1.907,0.509,0.0022,
2022/04/02 16:40,0.545,0.598,0.00234,1.892,0.509,0.0022,
2022/04/02 16:50,0.428,0.609,0.00236,1.876,0.509,0.0022,
2022/04/02 17:00,0.312,0.619,0.00238,1.859,0.51,0.00219,
2022/04/02 17:10,0.195,0.629,0.0024,1.84,0.51,0.00219,
2022/04/02 17:20,0.078,0.639,0.00242,1.821,0.511,0.00219,
2022/04/02 17:30,-0.038,0.648,0.00244,1.8,0.511,0.00219,
2022/04/02 17:40,-0.155,0.658,0.00245,1.778,0.511,0.00219,
2022/04/02 17:50,-0.272,0.669,0.00247,1.754,0.512,0.00219,
2022/04/02 18:00,-0.388,0.679,0.00249,1.73,0.512,0.00219,
2022/04/02 18:10,-0.49,0.679,0.00247,1.703,0.513,0.00218,
2022/04/02 18:20,-0.59,0.677,0.00244,1.674,0.513,0.00218,
2022/04/02 18:30,-0.69,0.675,0.00242,1.642,0.513,0.00218,
2022/04/02 18:40,-0.79,0.674,0.0024,1.607,0.514,0.00217,
2022/04/02 18:50,-0.89,0.672,0.00237,1.571,0.514,0.00217,
2022/04/02 19:00,-0.99,0.67,0.00235,1.533,0.514,0.00216,
2022/04/02 19:10,-1.03,0.669,0.00234,1.495,0.514,0.00215,
2022/04/02 19:20,-1.063,0.667,0.00232,1.457,0.514,0.00215,
2022/04/02 19:30,-1.097,0.665,0.00231,1.42,0.514,0.00214,
2022/04/02 19:40,-1.13,0.664,0.0023,1.382,0.514,0.00214,
2022/04/02 19:50,-1.163,0.662,0.00229,1.343,0.514,0.00213,
2022/04/02 20:00,-1.197,0.66,0.00228,1.304,0.514,0.00213,
2022/04/02 20:10,-1.23,0.66,0.00227,1.264,0.514,0.00212,
2022/04/02 20:20,-1.263,0.66,0.00227,1.224,0.514,0.00211,
2022/04/02 20:30,-1.297,0.66,0.00226,1.183,0.514,0.00211,
2022/04/02 20:40,-1.33,0.66,0.00226,1.141,0.514,0.0021,
2022/04/02 20:50,-1.363,0.66,0.00225,1.099,0.514,0.00209,
2022/04/02 21:00,-1.397,0.66,0.00224,1.057,0.514,0.00209,
2022/04/02 21:10,-1.355,0.66,0.00225,1.015,0.514,0.00208,
2022/04/02 21:20,-1.305,0.66,0.00226,0.976,0.514,0.00208,
2022/04/02 21:30,-1.255,0.66,0.00227,0.939,0.514,0.00207,
2022/04/02 21:40,-1.205,0.66,0.00228,0.903,0.514,0.00206,
2022/04/02 21:50,-1.155,0.66,0.00228,0.868,0.514,0.00206,
2022/04/02 22:00,-1.105,0.66,0.00229,0.834,0.514,0.00206,
2022/04/02 22:10,-1.085,0.671,0.00233,0.801,0.514,0.00205,
2022/04/02 22:20,-1.068,0.682,0.00238,0.77,0.515,0.00205,
2022/04/02 22:30,-1.052,0.694,0.00242,0.74,0.515,0.00205,
2022/04/02 22:40,-1.035,0.706,0.00246,0.712,0.516,0.00204,
2022/04/02 22:50,-1.018,0.717,0.00251,0.685,0.516,0.00204,
2022/04/02 23:00,-1.002,0.729,0.00255,0.66,0.517,0.00204,
2022/04/02 23:10,-0.955,0.722,0.00254,0.635,0.518,0.00204,
2022/04/02 23:20,-0.905,0.714,0.00252,0.609,0.518,0.00204,
2022/04/02 23:30,-0.855,0.706,0.0025,0.583,0.519,0.00204,
2022/04/02 23:40,-0.805,0.697,0.00248,0.557,0.519,0.00203,
2022/04/02 23:50,-0.755,0.689,0.00246,0.531,0.519,0.00203,
2022/04/03 00:00,-0.705,0.681,0.00244,0.506,0.519,0.00203,
2022/04/03 00:10,-0.7,0.673,0.00241,0.481,0.519,0.00202,
2022/04/03 00:20,-0.7,0.664,0.00238,0.455,0.519,0.00202,
2022/04/03 00:30,-0.7,0.656,0.00235,0.428,0.519,0.00202,
2022/04/03 00:40,-0.7,0.648,0.00232,0.402,0.519,0.00201,
2022/04/03 00:50,-0.7,0.639,0.00229,0.376,0.519,0.00201,
2022/04/03 01:00,-0.7,0.631,0.00226,0.35,0.519,0.002,
2022/04/03 01:10,-0.73,0.63,0.00225,0.324,0.519,0.002,
2022/04/03 01:20,-0.763,0.63,0.00224,0.299,0.519,0.002,
2022/04/03 01:30,-0.797,0.63,0.00224,0.274,0.519,0.00199,
2022/04/03 01:40,-0.83,0.63,0.00223,0.25,0.519,0.00199,
2022/04/03 01:50,-0.863,0.63,0.00223,0.226,0.519,0.00198,
2022/04/03 02:00,-0.897,0.63,0.00222,0.203,0.519,0.00198,
2022/04/03 02:10,-0.915,0.636,0.00224,0.18,0.519,0.00198,
2022/04/03 02:20,-0.932,0.643,0.00226,0.159,0.519,0.00198,
2022/04/03 02:30,-0.948,0.649,0.00228,0.139,0.519,0.00197,
2022/04/03 02:40,-0.965,0.656,0.0023,0.12,0.519,0.00197,
2022/04/03 02:50,-0.982,0.663,0.00232,0.102,0.52,0.00197,
2022/04/03 03:00,-0.998,0.669,0.00234,0.085,0.52,0.00197,
2022/04/03 03:10,-1.0,0.666,0.00233,0.067,0.52,0.00197,
2022/04/03 03:20,-1.0,0.661,0.00231,0.048,0.521,0.00197,
2022/04/03 03:30,-1.0,0.656,0.00229,0.028,0.521,0.00196,
2022/04/03 03:40,-1.0,0.65,0.00228,0.008,0.521,0.00196,
2022/04/03 03:50,-1.0,0.646,0.00226,-0.012,0.521,0.00196,
2022/04/03 04:00,-1.0,0.641,0.00224,-0.033,0.521,0.00196,
2022/04/03 04:10,-1.03,0.64,0.00224,-0.054,0.521,0.00195,
2022/04/03 04:20,-1.063,0.64,0.00223,-0.075,0.521,0.00195,
2022/04/03 04:30,-1.097,0.64,0.00222,-0.096,0.521,0.00195,
2022/04/03 04:40,-1.13,0.64,0.00222,-0.117,0.521,0.00194,
2022/04/03 04:50,-1.163,0.64,0.00221,-0.138,0.521,0.00194,
2022/04/03 05:00,-1.197,0.64,0.00221,-0.159,0.521,0.00194,
2022/04/03 05:10,-1.215,0.647,0.00223,-0.179,0.521,0.00194,
2022/04/03 05:20,-1.232,0.656,0.00226,-0.198,0.522,0.00194,
2022/04/03 05:30,-1.248,0.664,0.00228,-0.214,0.522,0.00193,
2022/04/03 05:40,-1.265,0.672,0.00231,-0.23,0.522,0.00193,
2022/04/03 05:50,-1.282,0.681,0.00233,-0.245,0.523,0.00193,
2022/04/03 06:00,-1.298,0.689,0.00236,-0.26,0.523,0.00193,
2022/04/03 06:10,-1.165,0.687,0.00238,-0.271,0.524,0.00193,
2022/04/03 06:20,-1.015,0.684,0.00239,-0.279,0.525,0.00193,
2022/04/03 06:30,-0.865,0.68,0.00241,-0.284,0.525,0.00194,
2022/04/03 06:40,-0.715,0.677,0.00242,-0.286,0.526,0.00194,
2022/04/03 06:50,-0.565,0.674,0.00244,-0.287,0.526,0.00194,
2022/04/03 07:00,-0.415,0.67,0.00245,-0.286,0.526,0.00194,
2022/04/03 07:10,-0.205,0.661,0.00245,-0.282,0.527,0.00194,
2022/04/03 07:20,0.012,0.65,0.00245,-0.276,0.527,0.00195,
2022/04/03 07:30,0.228,0.64,0.00245,-0.267,0.528,0.00195,
2022/04/03 07:40,0.445,0.63,0.00245,-0.257,0.528,0.00195,
2022/04/03 07:50,0.662,0.621,0.00245,-0.244,0.528,0.00195,
2022/04/03 08:00,0.878,0.611,0.00245,-0.228,0.528,0.00196,
2022/04/03 08:10,0.885,0.62,0.00249,-0.213,0.529,0.00196,
2022/04/03 08:20,0.868,0.632,0.00254,-0.199,0.529,0.00196,
2022/04/03 08:30,0.852,0.644,0.00258,-0.185,0.53,0.00197,
2022/04/03 08:40,0.835,0.655,0.00262,-0.171,0.53,0.00197,
2022/04/03 08:50,0.818,0.667,0.00267,-0.155,0.531,0.00198,
2022/04/03 09:00,0.802,0.679,0.00271,-0.138,0.532,0.00198,
2022/04/03 09:10,0.83,0.685,0.00274,-0.12,0.533,0.00199,
2022/04/03 09:20,0.863,0.69,0.00277,-0.099,0.534,0.002,
2022/04/03 09:30,0.897,0.695,0.00279,-0.077,0.535,0.002,
2022/04/03 09:40,0.93,0.7,0.00282,-0.054,0.536,0.00201,
2022/04/03 09:50,0.963,0.705,0.00285,-0.029,0.537,0.00202,
2022/04/03 10:00,0.997,0.71,0.00287,-0.003,0.538,0.00202,
2022/04/03 10:10,1.03,0.707,0.00287,0.023,0.539,0.00203,
2022/04/03 10:20,1.063,0.704,0.00286,0.049,0.54,0.00204,
2022/04/03 10:30,1.097,0.7,0.00286,0.074,0.54,0.00205,
2022/04/03 10:40,1.13,0.697,0.00285,0.099,0.541,0.00205,
2022/04/03 10:50,1.163,0.694,0.00284,0.124,0.542,0.00206,
2022/04/03 11:00,1.197,0.69,0.00284,0.149,0.542,0.00206,
2022/04/03 11:10,1.215,0.687,0.00283,0.174,0.543,0.00207,
2022/04/03 11:20,1.232,0.684,0.00282,0.198,0.543,0.00207,
2022/04/03 11:30,1.248,0.68,0.00281,0.222,0.544,0.00208,
2022/04/03 11:40,1.265,0.677,0.0028,0.246,0.544,0.00209,
2022/04/03 11:50,1.282,0.674,0.00279,0.269,0.545,0.00209,
2022/04/03 12:00,1.298,0.67,0.00277,0.292,0.545,0.0021,
2022/04/03 12:10,1.33,0.668,0.00277,0.316,0.545,0.0021,
