period_days,w01_o01_kyoto,w01_o01_okinawa,w01_o01_sapporo,w01_o02_kyoto,w01_o02_okinawa,w01_o02_sapporo,w01_o03_kyoto,w01_o03_okinawa,w01_o03_sapporo,w01_o04_kyoto,w01_o04_okinawa,w01_o04_sapporo,w01_o05_kyoto,w01_o05_okinawa,w01_o05_sapporo,w02_o01_kyoto,w02_o01_okinawa,w02_o01_sapporo,w02_o02_kyoto,w02_o02_okinawa,w02_o02_sapporo,w02_o03_kyoto,w02_o03_okinawa,w02_o03_sapporo,w02_o04_kyoto,w02_o04_okinawa,w02_o04_sapporo,w02_o05_kyoto,w02_o05_okinawa,w02_o05_sapporo,w04_o01_kyoto,w04_o01_okinawa,w04_o01_sapporo,w04_o02_kyoto,w04_o02_okinawa,w04_o02_sapporo,w04_o03_kyoto,w04_o03_okinawa,w04_o03_sapporo,w04_o04_kyoto,w04_o04_okinawa,w04_o04_sapporo,w04_o05_kyoto,w04_o05_sapporo,w05_o01_kyoto,w05_o01_okinawa,w05_o01_sapporo,w05_o02_kyoto,w05_o02_okinawa,w05_o02_sapporo,w05_o03_kyoto,w05_o03_okinawa,w05_o03_sapporo,w05_o04_kyoto,w05_o04_okinawa,w05_o04_sapporo,w05_o05_kyoto,w05_o05_okinawa,w05_o05_sapporo
0.1,0.10356969161621382,0.2589086104755656,0.1309337828438304,0.10137987085881381,0.2569675744139444,0.1360924685090579,0.10917436595029052,0.2602391421818054,0.13690291336668098,0.09505432536665583,0.19554802416128658,0.15779970798870357,0.10139556522524798,0.26524826683241504,0.13110423975680982,0.13670339791742026,0.1858125343555894,0.29418199295306197,0.1205153041224352,0.134227189418843,0.30978117903390984,0.3477584139169495,0.4183531666525563,0.3908093234396227,0.1770299877933507,0.05106127660772078,0.3695938213450902,0.2140272033586185,0.27496699515814765,0.31277234176955643,0.096703871771514,0.15135783728294538,0.26526611142304046,0.1028881050586634,0.1249242495654944,0.2717895183179301,0.18942530815714884,0.23609785702278324,0.2955376037580933,0.15297263586502904,0.03086987094502556,0.32395290941438054,0.11548968683924765,0.27064304039164494,0.07610959576252063,0.17361382808210396,0.29803529558470154,0.06252612854423241,0.17319070349696952,0.29930526800916735,0.14330021470659146,0.19885545030609772,0.3000650185228055,0.057157077523779895,0.17305664304726162,0.3002338227945682,0.09644755750913724,0.17914733826978055,0.29740580896728036
0.2,0.13926190593269877,0.29055066797386053,0.15706221246111293,0.13100747113857272,0.2848624398001774,0.1527992074322385,0.16128723930592465,0.3025962079641478,0.1722182636202382,0.11758614357706114,0.21387381668647878,0.15028138721618,0.144760088027448,0.299068242436565,0.1612101367308009,0.19689639693416838,0.2630421894260666,0.254450414971247,0.13989248735358523,0.1894478501702382,0.25527996433743355,0.4450289367819557,0.5114173627954303,0.43732827563871013,0.1510874911062586,0.08586629942745147,0.29406007716679067,0.2948210089866283,0.3645849889156682,0.3109351126454031,0.12077551003737462,0.1776035264145351,0.20226931537421228,0.08509407242461074,0.1336285057589842,0.2021606270204026,0.32785491841896086,0.3658658594663296,0.3180718895208186,0.11236483998113153,0.03136122843429237,0.23933452960878174,0.1943015465908384,0.23147029988449705,0.20508491802003886,0.2460470475246679,0.3352036241203238,0.20357423639824476,0.24013577148718288,0.3370963137077559,0.27517663531230946,0.30278265878025507,0.3521963844309996,0.20500203504661135,0.23880892643442725,0.33822199442706824,0.21964182761760634,0.2608694474895942,0.33685790280981226
0.5,0.49524507086373,0.3801821195636417,0.5048134616680541,0.491569085671568,0.36150553609458974,0.48333916884919725,0.4755548483192887,0.40844595046363547,0.5208025352260935,0.457292366547929,0.30554828837126063,0.4322792692691796,0.4886180921130105,0.3966617728844371,0.5121890366813763,0.42301280626095417,0.44007820361216726,0.5016354413571861,0.4495310702517737,0.3609805980967797,0.4823105393494629,0.5617119076677551,0.6538040567196429,0.6444163338328044,0.43036257065005684,0.23844376215864124,0.4348297867785354,0.454912075133574,0.5308365030468752,0.5491290356102393,0.3224644943953602,0.30294202334340126,0.3493791484704837,0.2861477710999265,0.21729515846605854,0.3156218741505508,0.4970442462353009,0.5588486765886005,0.554208926960288,0.26380533257302186,0.12530040298432438,0.3021567691144337,0.38446237106923137,0.42052742358588424,0.6717992078103133,0.5200736281060188,0.7613172758099727,0.7296451289462392,0.5213500113971201,0.7698845294313826,0.5657996720932871,0.5560036449623588,0.7577870852466496,0.758332836087901,0.5225947376620927,0.7721827002839076,0.6137923582236247,0.5250860800157738,0.7548441013450697
1.0,0.6159344163738015,0.49986758818481086,0.6028484922166738,0.6277552728584567,0.47050579660001346,0.5752487993501226,0.5770411667862606,0.526228920287545,0.6207850182198369,0.5784890107589368,0.38037625894555616,0.5116615904427462,0.6014870489036217,0.49466550105219836,0.6126351969472409,0.5269762752428359,0.5301878595854969,0.603853168778418,0.5454633586631932,0.43076818202389017,0.5621889478218476,0.6792893039183643,0.7528055853081809,0.7464120148774307,0.5106568795272498,0.2974772976332379,0.4719516102903673,0.5698017262165864,0.6329842982813155,0.6556732987272311,0.446557826325769,0.4573473525484223,0.4916899374249064,0.4208649331947897,0.35767795764853444,0.43100355927663003,0.5966691096856763,0.6875993664458345,0.6629526689867665,0.3752374860066758,0.23627636219743633,0.3601387681018335,0.4992887848465515,0.5599312975808102,0.7460677043257422,0.5810192134281891,0.8115855744429161,0.8055621586820022,0.5656197890803231,0.8202180996826586,0.667482798897963,0.66706266536152,0.811068556807132,0.8361587648605353,0.5604477848782532,0.8215205700884878,0.6939164711709376,0.6089028603853041,0.806397113530556
2.0,0.5164836033487649,0.4959947610375893,0.5869033635318406,0.4928348198066217,0.46175470230427995,0.5574372629322921,0.5867385907313093,0.5882506876650081,0.63332640716616,0.448036942096807,0.38417530245973225,0.4920085658779806,0.539911114427496,0.5257933622865674,0.6043380562212274,0.6288965386666201,0.6772886413394532,0.6743554681430161,0.5081444149421289,0.5402364380651394,0.57056863223267,0.838090585805623,0.8553817283366209,0.8458596527040064,0.39815408005375913,0.34522386565092816,0.44114069681077434,0.7361594590534756,0.7713975716656117,0.7589297377051326,0.5902202498977837,0.6373690466091125,0.6442721723525169,0.49212882159619026,0.5070867205898721,0.5548502256595658,0.7883375697121288,0.8275985672086754,0.7962855003379323,0.38709501540829727,0.32985748717335056,0.43014545489651046,0.6849344070393151,0.7149084049006462,0.5968617470478647,0.6140722467139276,0.6674725233304807,0.5724766493598078,0.5597258620279478,0.648046611157569,0.7234728706027339,0.7671172186861313,0.7615759911269666,0.5669213583719185,0.5345838631463918,0.643129728088574,0.6382407456788903,0.6797233578229129,0.7012927612525417
7.0,0.5706744183520306,0.5072212144031186,0.7419805685754968,0.5573004189223519,0.4538817481589338,0.6962645655537391,0.687505619869924,0.67056764400952,0.826889497952683,0.5224477566069303,0.3586825941021701,0.6053690500299476,0.5974728469325169,0.5661710180106568,0.7742866269809097,0.6789119959330109,0.7080990419019028,0.8088573782071535,0.5668267718794678,0.5507186962881812,0.7085829787920628,0.8651021838440848,0.8785025918585175,0.9186734534159295,0.4732368460999292,0.3134370181771181,0.5391549361585425,0.7782956823834607,0.8018745981087966,0.8683309887151386,0.6764124696394989,0.7068440759787215,0.8299175098528934,0.5824319828921578,0.5522832063866061,0.7348672231042364,0.8624829790965068,0.8808042325643065,0.9284627132958303,0.4921332337119867,0.32536995271140484,0.5607968260350394,0.7727608389965909,0.8841436083623291,0.6137135236664389,0.6204603423766496,0.7963692257854313,0.5984751180797385,0.5321587556648012,0.7711244530311586,0.7741930801809024,0.8033722990359159,0.88143383208504,0.611496747460902,0.48553181496368286,0.7611624795603485,0.6752248898119816,0.7074925387505145,0.8320364360735014
14.0,0.8716628420115211,0.6724916918768262,0.684121411098103,0.8954314144246482,0.5556870490834283,0.6548483314743235,0.835927505874104,0.8779426491368792,0.7971508077031063,0.8365212658626885,0.4178638896934181,0.602806501592716,0.8424990475356176,0.7739499332744599,0.7201182385663885,0.8659622337498117,0.7443228222847809,0.7813971365420888,0.8486683019168714,0.5981240197221711,0.6777589120829871,0.9308641269712585,0.8957024277820339,0.9030367462515229,0.7407060657248534,0.3550158420056464,0.5284761567256095,0.8911487587816181,0.826253917700326,0.8459739977217989,0.8617725480944992,0.7725139505376872,0.792571268060667,0.8566873742943993,0.6205242392092046,0.6884841558915556,0.9193087732807738,0.9137946326194168,0.9064131042690099,0.7538420941375656,0.36505158704022256,0.5369875413506184,0.8761333701295548,0.8544571184943413,0.8418859005811224,0.7241160475389776,0.7338987383054772,0.8772894694869842,0.626041643196773,0.71026911580845,0.8943381547257291,0.8775454904104544,0.8441701462096279,0.9141719619904838,0.5612494927011625,0.7096870226359738,0.8510646427488432,0.802148125922517,0.7794773383766789
30.0,0.7957429469857131,0.6523200379753643,0.7753262309929396,0.7121416333826025,0.4736130115104862,0.6820663003338274,0.918720222566074,0.8934973480702317,0.9200196025881469,0.5585792427380061,0.29801935104419053,0.5728744178722273,0.8534048554748792,0.7864826567295485,0.853415041412004,0.8343430335862039,0.6899479722158268,0.8330684749943359,0.7181642379692387,0.5061438278424969,0.7126794866431772,0.9387000859103924,0.8837343098043625,0.9380655151149186,0.4968146653027773,0.25696842059867303,0.5091814215781036,0.8943522015316145,0.79983862350894,0.893502025342109,0.8384069879414708,0.7073367720908089,0.8394977106542103,0.7245201806738196,0.5185657190777477,0.7187928140466,0.9406982523532459,0.8945242894373191,0.9415200087636766,0.5017058825221102,0.25996197500724,0.5135337632437131,0.8972355530289283,0.8985186916199003,0.8910763894194805,0.7803290913040398,0.8391705966257785,0.8833577397920502,0.689431108975913,0.7699949107476045,0.9501066852374137,0.9147778364992927,0.9351883000654062,0.8993655197198813,0.6538345199726702,0.7304211056269337,0.9191297510568855,0.8536434460965653,0.8912441090277081
90.0,0.9625436312994182,0.9765234203058882,0.9478908563590733,0.9197595732331738,0.9098089912727382,0.8719771768732189,0.9887425926087703,0.9977136015094829,0.9866900001276251,0.8079527619464774,0.6139669893461737,0.7238707918822221,0.9784310753508518,0.9912848984479965,0.9732661452757747,0.9602551574084054,0.9720267357100514,0.9417113271194819,0.9016666855337002,0.9075562966902194,0.8576039829778626,0.988336237375204,0.9937257749143762,0.9836858419551497,0.710967294008797,0.540493870960331,0.6355906488371521,0.9780928572923802,0.9867236034721829,0.9685458657494703,0.9609208429424747,0.974012008280843,0.9429692040804777,0.9022533739300342,0.9109505884450302,0.8585567661444032,0.988850059637642,0.9943637343648174,0.9842935434949829,0.7106611642728039,0.540343787159285,0.6351990841511671,0.9787073307027765,0.9694814971823698,0.9917011670743662,1.027783929557316,0.9973882014464818,0.9859156181869593,1.0481548264888336,0.9891476105474837,0.9973114158416645,1.01000202469007,1.0005170506166872,0.9831626412805425,1.0688328613189724,0.9756079731249803,0.9950925469078018,1.017361274378198,0.9997387265633498
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
