period_days,w01_o01_kyoto,w01_o01_okinawa,w01_o01_sapporo,w01_o02_kyoto,w01_o02_okinawa,w01_o02_sapporo,w01_o03_kyoto,w01_o03_okinawa,w01_o03_sapporo,w01_o04_kyoto,w01_o04_okinawa,w01_o04_sapporo,w01_o05_kyoto,w01_o05_okinawa,w01_o05_sapporo,w02_o01_kyoto,w02_o01_okinawa,w02_o01_sapporo,w02_o02_kyoto,w02_o02_okinawa,w02_o02_sapporo,w02_o03_kyoto,w02_o03_okinawa,w02_o03_sapporo,w02_o04_kyoto,w02_o04_okinawa,w02_o04_sapporo,w02_o05_kyoto,w02_o05_okinawa,w02_o05_sapporo,w04_o01_kyoto,w04_o01_okinawa,w04_o01_sapporo,w04_o02_kyoto,w04_o02_okinawa,w04_o02_sapporo,w04_o03_kyoto,w04_o03_okinawa,w04_o03_sapporo,w04_o04_kyoto,w04_o04_okinawa,w04_o04_sapporo,w04_o05_kyoto,w04_o05_sapporo,w05_o01_kyoto,w05_o01_okinawa,w05_o01_sapporo,w05_o02_kyoto,w05_o02_okinawa,w05_o02_sapporo,w05_o03_kyoto,w05_o03_okinawa,w05_o03_sapporo,w05_o04_kyoto,w05_o04_okinawa,w05_o04_sapporo,w05_o05_kyoto,w05_o05_okinawa,w05_o05_sapporo
0.1,1.2754043634927184e-06,1.5487447865243284e-06,9.451419789225016e-07,1.2872518007564074e-06,1.546296359438448e-06,9.451419789225016e-07,1.2780737290379682e-06,1.5521948864065589e-06,9.451419789225016e-07,1.2787352397197906e-06,1.542058200659444e-06,9.451419789225016e-07,1.2804449770492777e-06,1.5485114332638672e-06,9.451419789225016e-07,1.2754043634927184e-06,1.5464957272142923e-06,9.451419789225016e-07,1.2780737290379682e-06,1.5464957272142923e-06,9.451419789225016e-07,1.2752783273246183e-06,1.5464957272142923e-06,9.451419789225016e-07,1.2819156418069614e-06,1.5464957272142923e-06,9.451419789225016e-07,1.2754043634927184e-06,1.5464957272142923e-06,9.451419789225016e-07,1.2780737290379682e-06,1.5518596878645004e-06,9.451419789225016e-07,1.282503633313283e-06,1.5487447865243284e-06,9.451419789225016e-07,1.2861399130839292e-06,1.5471218733132686e-06,9.451419789225016e-07,1.2810178765349027e-06,1.5521530757493928e-06,9.451419789225016e-07,1.2828121018703382e-06,9.451419789225016e-07,1.278473537095834e-06,1.5464957272142923e-06,9.451419789225016e-07,1.278473537095834e-06,1.5464957272142923e-06,9.451419789225016e-07,1.278473537095834e-06,1.5464957272142923e-06,9.451419789225016e-07,1.278473537095834e-06,1.5464957272142923e-06,9.451419789225016e-07,1.278473537095834e-06,1.5464957272142923e-06,9.451419789225016e-07
0.2,3.897180199907799e-06,3.447085178199148e-06,2.9262724349187254e-06,3.871572358491983e-06,3.4433046396552436e-06,2.9262724349187254e-06,3.901933370684594e-06,3.431103023230595e-06,2.9262724349187254e-06,3.887791983622367e-06,3.4429391084153753e-06,2.9262724349187254e-06,3.904756175182586e-06,3.4240697738987675e-06,2.9262724349187254e-06,3.897180199907799e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.901933370684594e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.895917086936467e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.905161610729868e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.897180199907799e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.901933370684594e-06,3.426181808800969e-06,2.9262724349187254e-06,3.907496014741471e-06,3.447085178199148e-06,2.9262724349187254e-06,3.911035425071721e-06,3.445876929560213e-06,2.9262724349187254e-06,3.902896113898524e-06,3.4386421118844273e-06,2.9262724349187254e-06,3.907428463295185e-06,2.9262724349187254e-06,3.875535526452079e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.875535526452079e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.875535526452079e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.875535526452079e-06,3.4168501619798085e-06,2.9262724349187254e-06,3.875535526452079e-06,3.4168501619798085e-06,2.9262724349187254e-06
0.5,1.1425438812805852e-05,8.634712961871718e-06,9.275846537992942e-06,1.1467307270611286e-05,8.624235407452226e-06,9.275846537992942e-06,1.1414077013485942e-05,8.617911502893545e-06,9.275846537992942e-06,1.1448673781038e-05,8.717760883351101e-06,9.275846537992942e-06,1.140805690550089e-05,8.636138956096365e-06,9.275846537992942e-06,1.1425438812805852e-05,8.875745459965116e-06,9.275846537992942e-06,1.1414077013485942e-05,8.875745459965116e-06,9.275846537992942e-06,1.1430965711031616e-05,8.875745459965116e-06,9.275846537992942e-06,1.1357155539920998e-05,8.875745459965116e-06,9.275846537992942e-06,1.1425438812805852e-05,8.875745459965116e-06,9.275846537992942e-06,1.1414077013485942e-05,8.619904524933024e-06,9.275846537992942e-06,1.135629140619623e-05,8.634712961871718e-06,9.275846537992942e-06,1.138823250067261e-05,8.629300863711018e-06,9.275846537992942e-06,1.1358284346962412e-05,8.70664088602273e-06,9.275846537992942e-06,1.1401726926087992e-05,9.275846537992942e-06,1.1213152374552775e-05,8.875745459965116e-06,9.275846537992942e-06,1.1213152374552775e-05,8.875745459965116e-06,9.275846537992942e-06,1.1213152374552775e-05,8.875745459965116e-06,9.275846537992942e-06,1.1213152374552775e-05,8.875745459965116e-06,9.275846537992942e-06,1.1213152374552775e-05,8.875745459965116e-06,9.275846537992942e-06
1.0,2.2134664797044995e-05,1.8486374837916503e-05,1.75652044219313e-05,2.230426531145226e-05,1.8520407860284495e-05,1.75652044219313e-05,2.211648123239037e-05,1.855608866144314e-05,1.75652044219313e-05,2.218711006598853e-05,1.793953358784763e-05,1.75652044219313e-05,2.210775683062377e-05,1.866199299296932e-05,1.75652044219313e-05,2.2134664797044995e-05,1.7963483134137268e-05,1.75652044219313e-05,2.211648123239037e-05,1.7963483134137268e-05,1.75652044219313e-05,2.2144178496176065e-05,1.7963483134137268e-05,1.75652044219313e-05,2.206641247750773e-05,1.7963483134137268e-05,1.75652044219313e-05,2.2134664797044995e-05,1.7963483134137268e-05,1.75652044219313e-05,2.211648123239037e-05,1.859608960904771e-05,1.75652044219313e-05,2.2065278702036313e-05,1.8486374837916503e-05,1.75652044219313e-05,2.2083747696332347e-05,1.850328466385428e-05,1.75652044219313e-05,2.206790075680262e-05,1.8319655651072783e-05,1.75652044219313e-05,2.209928243069776e-05,1.75652044219313e-05,2.232915220712328e-05,1.7963483134137268e-05,1.75652044219313e-05,2.232915220712328e-05,1.7963483134137268e-05,1.75652044219313e-05,2.232915220712328e-05,1.7963483134137268e-05,1.75652044219313e-05,2.232915220712328e-05,1.7963483134137268e-05,1.75652044219313e-05,2.232915220712328e-05,1.7963483134137268e-05,1.75652044219313e-05
2.0,5.7341279344566154e-05,5.4945200345734424e-05,4.772621772662961e-05,5.749237223832837e-05,5.496195803671578e-05,4.772621772662961e-05,5.731803249291448e-05,5.4975039984145025e-05,4.772621772662961e-05,5.7397861760680874e-05,5.4376769546160433e-05,4.772621772662961e-05,5.7306307829514696e-05,5.499096684077885e-05,4.772621772662961e-05,5.7341279344566154e-05,5.3570629447578096e-05,4.772621772662961e-05,5.731803249291448e-05,5.3570629447578096e-05,4.772621772662961e-05,5.735278517356184e-05,5.3570629447578096e-05,4.772621772662961e-05,5.717739738435688e-05,5.3570629447578096e-05,4.772621772662961e-05,5.7341279344566154e-05,5.3570629447578096e-05,4.772621772662961e-05,5.731803249291448e-05,5.498430813937488e-05,4.772621772662961e-05,5.718859683236549e-05,5.4945200345734424e-05,4.772621772662961e-05,5.7270834104630165e-05,5.495398182995641e-05,4.772621772662961e-05,5.7166495011451305e-05,5.486610151500883e-05,4.772621772662961e-05,5.7294528863659e-05,4.772621772662961e-05,5.639573068835498e-05,5.3570629447578096e-05,4.772621772662961e-05,5.639573068835498e-05,5.3570629447578096e-05,4.772621772662961e-05,5.639573068835498e-05,5.3570629447578096e-05,4.772621772662961e-05,5.639573068835498e-05,5.3570629447578096e-05,4.772621772662961e-05,5.639573068835498e-05,5.3570629447578096e-05,4.772621772662961e-05
7.0,0.000106535620257,0.0001443867744484,9.285553443737296e-05,0.0001068914091323,0.0001442656389179,9.285553443737296e-05,0.0001064801761475,0.0001441416674478,9.285553443737296e-05,0.0001066674554184,0.0001458297515395,9.285553443737296e-05,0.0001064518005453,0.0001437844076602,9.285553443737296e-05,0.000106535620257,0.0001465188677035,9.285553443737296e-05,0.0001064801761475,0.0001465188677035,9.285553443737296e-05,0.0001065626933423,0.0001465188677035,9.285553443737296e-05,0.0001061266104609,0.0001465188677035,9.285553443737296e-05,0.000106535620257,0.0001465188677035,9.285553443737296e-05,0.0001064801761475,0.0001440147771656,9.285553443737296e-05,0.0001061573967354,0.0001443867744484,9.285553443737296e-05,0.0001063650095693,0.0001443264503522,9.285553443737296e-05,0.0001060955025863,0.0001449040685932,9.285553443737296e-05,0.00010642298631,9.285553443737296e-05,0.0001049992983386,0.0001465188677035,9.285553443737296e-05,0.0001049992983386,0.0001465188677035,9.285553443737296e-05,0.0001049992983386,0.0001465188677035,9.285553443737296e-05,0.0001049992983386,0.0001465188677035,9.285553443737296e-05,0.0001049992983386,0.0001465188677035,9.285553443737296e-05
14.0,9.501948704053231e-05,0.0001637204086665,8.54417274148601e-05,9.455015152758802e-05,0.0001638051464597,8.54417274148601e-05,9.508631190914676e-05,0.0001638913818057,8.54417274148601e-05,9.48509645774293e-05,0.0001628300292266,8.54417274148601e-05,9.511952524576982e-05,0.0001641399388466,8.54417274148601e-05,9.501948704053231e-05,0.0001623127033314,8.54417274148601e-05,9.508631190914676e-05,0.0001623127033314,8.54417274148601e-05,9.49858946849729e-05,0.0001623127033314,8.54417274148601e-05,9.54844631284126e-05,0.0001623127033314,8.54417274148601e-05,9.501948704053231e-05,0.0001623127033314,8.54417274148601e-05,9.508631190914676e-05,0.000163979284978,8.54417274148601e-05,9.545154457828913e-05,0.0001637204086665,8.54417274148601e-05,9.521887949897318e-05,0.0001637628510969,8.54417274148601e-05,9.551725881581446e-05,0.0001633434736866,8.54417274148601e-05,9.51525931668626e-05,8.54417274148601e-05,9.80680880744331e-05,0.0001623127033314,8.54417274148601e-05,9.80680880744331e-05,0.0001623127033314,8.54417274148601e-05,9.80680880744331e-05,0.0001623127033314,8.54417274148601e-05,9.80680880744331e-05,0.0001623127033314,8.54417274148601e-05,9.80680880744331e-05,0.0001623127033314,8.54417274148601e-05
30.0,0.0001136910374218,0.0001590477985547,9.75314675810444e-05,0.0001137296384257,0.0001590842086158,9.75314675810444e-05,0.0001136851269753,0.0001591198045667,9.75314675810444e-05,0.0001137049293962,0.0001586300339991,9.75314675810444e-05,0.0001136820742497,0.000159217700878,9.75314675810444e-05,0.0001136910374218,0.0001580543321549,9.75314675810444e-05,0.0001136851269753,0.0001580543321549,9.75314675810444e-05,0.0001136938984011,0.0001580543321549,9.75314675810444e-05,0.0001136478194132,0.0001580543321549,9.75314675810444e-05,0.0001136910374218,0.0001580543321549,9.75314675810444e-05,0.0001136851269753,0.0001591548151186,9.75314675810444e-05,0.0001136510489474,0.0001590477985547,9.75314675810444e-05,0.0001136727449797,0.0001590663854142,9.75314675810444e-05,0.0001136445457623,0.0001588565069465,9.75314675810444e-05,0.0001136789544305,9.75314675810444e-05,0.0001124779829984,0.0001580543321549,9.75314675810444e-05,0.0001124779829984,0.0001580543321549,9.75314675810444e-05,0.0001124779829984,0.0001580543321549,9.75314675810444e-05,0.0001124779829984,0.0001580543321549,9.75314675810444e-05,0.0001124779829984,0.0001580543321549,9.75314675810444e-05
90.0,0.0010907957767851,0.0008346919058024,0.0008897813083515,0.0010908267088154,0.0008346246532937,0.0008897813083515,0.0010907947005779,0.0008345570347925,0.0008897813083515,0.0010908035105895,0.0008358171023033,0.0008897813083515,0.0010907946464002,0.0008343713563416,0.0008897813083515,0.0010907957767851,0.000836469178676,0.0008897813083515,0.0010907947005779,0.000836469178676,0.0008897813083515,0.0010907968000697,0.000836469178676,0.0008897813083515,0.0010908019990997,0.000836469178676,0.0008897813083515,0.0010907957767851,0.000836469178676,0.0008897813083515,0.0010907947005779,0.0008344891686653,0.0008897813083515,0.00109080055238,0.0008346919058024,0.0008897813083515,0.0010907956095496,0.000834658469827,0.0008897813083515,0.0010908036598325,0.000834981280793,0.0008897813083515,0.0010907949140331,0.0008897813083515,0.0010929718717897,0.000836469178676,0.0008897813083515,0.0010929718717897,0.000836469178676,0.0008897813083515,0.0010929718717897,0.000836469178676,0.0008897813083515,0.0010929718717897,0.000836469178676,0.0008897813083515,0.0010929718717897,0.000836469178676,0.0008897813083515
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
